ID,Left eye tracking error degrees,Right eye tracking error degrees,Age years,Inter pupillary distance mm,Gender,Eye colour,Skin tone,Ethnic background,Makeup,Dominant eye,Eyewear type,Eyewear lens type,Eyewear frame type,Eyewear frame thickness,Eyewear lens height,Eyewear coating anti-reflective,Eyewear coating anti-scratch,Eyewear coating anti-fog,Eyewear coating anti-UV,Eyewear coating anti-smudge,Eyewear coating blue-filter
ID0686,0.666241,2.2299,32,60.5,female,green,light,europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0687,0.756162,0.851446,28,69.5,female,brown,light,South Asia,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0688,0.962267,0.829447,44,72.5,male,blue-green,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0689,0.633485,0.584683,53,71,male,green,light,Europe,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Low,,,,,,
ID0690,0.412952,0.571824,31,63.5,female,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0691,0.815524,0.602389,42,64,male,green,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0692,0.867101,1.69949,40,66.5,male,green,light,Europe,no makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,No,No,No,No,No,No
ID0693,0.639539,1.31472,39,69.5,female,brown,light,East Asia,light eye-makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0695,0.826031,0.522431,56,66.5,male,blue-grey,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0697,0.941499,0.764808,50,66,male,Brown,light,europe,no makeup,right,Eyeglasses,Single-vision,Semi-rimless,Narrow,Low,,,,,,
